Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Honduras,HND,0.111284863439489,0.165554831163457,0.191157476370465,0.196270749294339,0.186343793641393,0.16033480434948,0.148706033686638,0.163700016006896,0.155818876698466,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,"Hong Kong SAR, China",HKG,..,..,..,..,..,..,..,..,..,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Hungary,HUN,0.303009617540037,0.239614377641456,0.13517412582697,0.139193596247188,0.138909222737529,0.148877972416092,0.140595417231853,0.12878443224022,0.127723595814128,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Iceland,ISL,0.189613578642187,0.164891942683969,0.107267998274962,0.103212695487935,0.0770603776243739,0.0756788863038758,0.0733732369020292,0.0694425801412807,0.0658940883979018,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,India,IND,0.295737491492218,0.286016631163833,0.269113618674406,0.25045482730734,0.235344354529514,0.23176868564209,0.231803076059726,0.220056401427817,0.212052917398521,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Indonesia,IDN,0.165681268926283,0.214446779993644,0.17821920334034,0.171479991216252,0.161568947279987,0.16375500784911,0.171592519362781,0.174116153878254,0.165424492373509,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,"Iran, Islamic Rep.",IRN,0.375793404814308,0.469909637972364,0.519420857882994,0.521555386582813,0.485730616202946,0.487646791636361,0.505505557210866,0.511552343067941,0.48818446570623,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Iraq,IRQ,0.340191768846199,0.282454563710276,0.276512150190575,0.262315887348507,0.248035594673165,0.275863538931219,0.288880563792178,0.294191059007501,0.30265535931267,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Ireland,IRL,0.302971735841836,0.211642763786438,0.120168423855451,0.100696039081708,0.104078554453228,0.0920871592694199,0.0843212865070171,0.076528606936974,0.067629932010892,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
